Time,Animal,Size
After,1,18115.243
After,1,2357.668
After,1,11320.018
After,1,32504.591
After,1,10190.542
After,1,28886.593
After,1,11666.667
After,1,18122.13
After,1,43475.666
After,1,53735.078
After,1,15752.984
After,1,12479.339
After,1,15055.096
After,1,13801.653
After,1,13801.653
After,1,11951.331
After,2,17258.953
After,2,5893.021
After,2,7578.053
After,2,4345.73
After,2,1253.444
After,2,4820.937
After,2,6184.573
After,2,11005.51
After,2,3011.938
After,2,5252.525
After,2,6065.197
After,2,2132.691
After,2,12511.478
After,2,4811.754
After,2,9524.793
After,2,37242.883
After,2,10401.745
After,2,46673.554
After,2,41884.757
After,2,5280.073
After,2,8367.769
After,2,8317.264
After,2,60466.024
After,2,30833.333
After,2,6710.285
After,2,1664.371
After,2,1701.102
After,2,3941.69
After,2,1124.885
After,2,5137.741
After,2,1932.966
After,2,4106.979
After,2,11586.318
After,2,21756.198
After,2,2747.934
After,2,13624.885
After,2,38826.905
After,2,2082.185
After,2,24834.711
After,2,12215.335
After,2,19568.411
After,2,15640.496
After,2,7001.837
After,2,32936.18
After,2,2300.275
After,2,10371.901
After,2,8477.961
After,2,33181.818
After,2,1962.81
After,2,2203.857
After,2,7910.927
After,2,3294.307
After,2,1836.547
After,2,9864.555
After,2,5259.412
After,2,33124.426
After,2,30325.987
After,2,14104.683
After,2,3347.107
After,2,36340.68
After,2,4717.631
After,2,21037.649
After,2,27807.622
After,2,8774.105
After,2,7497.704
After,2,41239.669
After,2,9908.173
After,2,9591.368
After,2,12199.265
After,2,27612.489
After,2,32511.478
After,2,1202.938
After,2,13696.051
After,2,11643.71
After,2,3321.855
After,2,6671.258
After,2,7803.03
After,2,18907.254
After,2,6531.221
After,2,26852.617
After,2,6457.759
After,2,3879.706
After,2,14915.06
After,2,4637.282
After,2,5358.127
After,2,7206.152
After,2,14889.807
After,2,16533.517
After,2,12667.585
After,2,4488.062
After,2,4965.565
After,2,35798.898
After,2,5325.987
After,2,2077.594
After,2,34120.753
After,2,1384.298
After,2,2904.04
After,2,2582.645
After,2,1455.464
After,2,2793.848
After,2,11244.261
After,2,35309.917
After,2,11370.523
After,2,6345.271
After,2,15426.997
After,2,4648.76
After,2,2525.253
After,2,4504.132
After,2,3684.573
After,2,1836.547
After,2,1737.833
After,3,2571.166
After,3,10344.353
After,3,10477.502
After,3,30812.672
After,3,11875.574
After,3,32467.86
After,3,22038.567
After,3,32669.881
After,3,23305.785
After,3,37853.535
After,3,8402.204
After,3,3950.872
After,3,9341.139
After,3,14407.713
After,3,11838.843
After,3,22646.924
After,3,12249.77
After,3,24407.713
After,3,14455.923
After,3,20943.526
After,3,11946.74
After,3,32229.109
After,3,5603.765
After,3,34286.042
After,3,14387.052
After,3,9426.079
After,3,6595.5
After,3,21097.337
After,3,9125.344
After,3,19912.764
After,3,16333.792
After,3,37325.528
After,3,12876.492
After,3,14896.694
After,3,5365.014
After,3,54641.873
After,3,12458.678
After,3,6168.503
After,3,15121.671
After,3,18707.53
After,3,12626.263
After,3,33769.513
After,3,23165.748
After,3,20544.077
After,3,4715.335
After,3,16808.999
After,3,34903.581
After,3,1641.414
After,3,14313.59
After,3,29758.953
After,3,9898.99
After,3,3083.104
After,3,9210.285
After,3,10828.742
After,3,40466.024
After,3,12054.637
After,3,8960.055
After,3,7557.392
After,3,34393.939
After,3,15238.751
After,3,12497.704
After,3,12114.325
After,3,20509.642
After,3,7897.153
After,3,4977.043
After,3,8810.836
After,3,38448.118
After,3,33512.397
After,4,6179.982
After,4,18438.935
After,4,5080.349
After,4,6189.164
After,4,2247.475
After,4,4407.713
After,4,12959.137
After,4,15984.848
After,4,18581.267
After,4,4104.683
After,4,4040.404
After,4,8115.243
After,4,4763.545
After,4,507.346
After,4,5959.596
After,4,25174.472
After,4,20022.957
